chebiId	cid	cmpdType	nsc
CHEBI:160246	6009	standardized	4993,757388
CHEBI:16024	NA	NA	NA
CHEBI:16027	6083	standardized	20264
CHEBI:16032	5879	standardized	9898
CHEBI:16038	NA	NA	NA
CHEBI:16039	NA	NA	NA
CHEBI:16040	597	standardized	27787
CHEBI:1604	NA	NA	NA
CHEBI:16057	NA	NA	NA
CHEBI:16062	NA	NA	NA
CHEBI:16066	NA	NA	NA
CHEBI:16067	NA	NA	NA
CHEBI:1606	75810	standardized	66355
CHEBI:16070	NA	NA	NA
CHEBI:16074	92132	standardized	119031
CHEBI:16077	NA	NA	NA
CHEBI:16082	NA	NA	NA
CHEBI:16084	NA	NA	NA
CHEBI:16087	5460172	standardized	NA
CHEBI:16087	1198	component	203797
CHEBI:16091	NA	NA	NA
CHEBI:16094	NA	NA	NA
CHEBI:16095	NA	NA	NA
CHEBI:16096	NA	NA	NA
CHEBI:16101	7500	standardized	406903
CHEBI:16108	NA	NA	NA
CHEBI:16109	10442	standardized	65426
CHEBI:16110	NA	NA	NA
CHEBI:16112	1794427	standardized	407296,70861
CHEBI:16113	5997	standardized	8798
CHEBI:16117	NA	NA	NA
CHEBI:16118	2353	standardized	646666
CHEBI:16120	NA	NA	NA
CHEBI:16124	NA	NA	NA
CHEBI:16125	2682	standardized	4194
CHEBI:16126	NA	NA	NA
CHEBI:16128	NA	NA	NA
CHEBI:16130	3036	standardized	8939
CHEBI:16132	NA	NA	NA
CHEBI:16134	NA	NA	NA
CHEBI:16136	402	standardized	403664
CHEBI:16137	NA	NA	NA
CHEBI:16139	NA	NA	NA
CHEBI:16142	NA	NA	NA
CHEBI:16152	NA	NA	NA
CHEBI:16154	NA	NA	NA
CHEBI:16155	NA	NA	NA
CHEBI:16163	193653	standardized	14156
CHEBI:16164	1057	standardized	5035
CHEBI:161680	9568617	standardized	646279
CHEBI:161680	5742832	component	646279
CHEBI:16169	5460389	standardized	NA
CHEBI:16169	780	component	88940
CHEBI:16171	NA	NA	NA
CHEBI:16174	NA	NA	NA
CHEBI:16176	71082	standardized	118360
CHEBI:1617	NA	NA	NA
CHEBI:161803	NA	NA	NA
CHEBI:16186	NA	NA	NA
CHEBI:16187	NA	NA	NA
CHEBI:16189	1117	standardized	NA
CHEBI:16189	1118	component	38965,248648
CHEBI:16192	65059	standardized	82626
CHEBI:16193	54675842	standardized	NA
CHEBI:16193	7420	component	55746
CHEBI:16194	NA	NA	NA
CHEBI:16196	445639	standardized	9856
CHEBI:16197	NA	NA	NA
CHEBI:16199	1176	standardized	34375,757375
CHEBI:16207	101	standardized	3504
CHEBI:16208	NA	NA	NA
CHEBI:16211	NA	NA	NA
CHEBI:16214	NA	NA	NA
CHEBI:16217	7027	standardized	34393
CHEBI:16223	167250	standardized	NA
CHEBI:16223	2513	component	103115,71159
CHEBI:16225	NA	NA	NA
CHEBI:16226	179651	standardized	36508
CHEBI:16227	1049	standardized	406123,141574
CHEBI:16231	440014	standardized	524341
CHEBI:16235	NA	NA	NA
CHEBI:16236	702	standardized	85228
CHEBI:16238	NA	NA	NA
CHEBI:16240	784	standardized	19892
CHEBI:16243	5280343	standardized	9219,57655,58588,324608
CHEBI:16244	NA	NA	NA
CHEBI:16247	NA	NA	NA
CHEBI:16249	NA	NA	NA
CHEBI:16250	NA	NA	NA
CHEBI:16254	NA	NA	NA
CHEBI:16256	NA	NA	NA
CHEBI:16261	NA	NA	NA
CHEBI:16264	NA	NA	NA
